center_i,center_j,d_ij,F_hat_ij,F_norm_ij
0,1,10189.879011242725,0.4012422589435867,0.09709056990206943
0,2,6835.56490508936,0.27018942508591404,0.0651708177600812
0,3,11052.104379892702,0.07375870861999903,0.01732736716003846
0,4,5238.626383967117,0.3653543990886757,0.08834957928206306
0,5,13173.464473471013,0.10446534322141533,0.024806397843619696
0,6,15253.413123823293,0.13197182292003345,0.03150598600538396
0,7,13363.753237874567,0.012758048754063906,0.002469802572514815
0,8,14735.539111885819,0.015556152958482448,0.0031513200189020756
0,9,10521.164441783612,0.18478958297676687,0.04437049080149471
1,2,6325.302801258378,1.8333991463611579,0.4459124269285042
1,3,18293.76930414546,0.209206423798382,0.0503175541665095
1,4,5468.880998909785,2.068911011905676,0.5032746384381194
1,5,4799.195874238893,2.869581543891191,0.698289154157233
1,6,5358.9823482041265,3.8278712032934927,0.9316940146852524
1,7,23549.27560449363,0.032942734188095985,0.007386065251870703
1,8,16478.4156739089,0.07945607534009619,0.01871504057551773
1,9,4413.3903806711005,4.10831488923186,1.0
2,3,17528.746433465643,0.08252267189992413,0.019461953093376654
2,4,5820.85814186314,0.6970737914556865,0.16914448064638798
2,5,7055.886662091951,0.5955437151991226,0.14441540937284114
2,6,11548.313255014262,0.44768519133586737,0.10840239618671656
2,7,19352.067297040212,0.016360805378012783,0.0033473043790705355
2,8,18932.918915061753,0.023869519928169027,0.005176156913508849
2,9,9483.55416226003,0.48254220300138456,0.11689230930055312
3,4,13069.483934899126,0.11628465952301519,0.027685157773714414
3,5,22593.119683909543,0.05833477708972643,0.013570652734191087
3,6,21781.27299423519,0.09700106048051249,0.022988367298274186
3,7,12176.778906889214,0.018397037893673553,0.003843257311106607
3,8,9151.624485544271,0.03986332922127369,0.009071673045548902
3,9,15821.441521584862,0.12568218644669693,0.02997405700100892
4,5,9523.637202455155,0.34454606263757825,0.08328141766773683
4,6,10140.568422744273,0.493591450323195,0.11958350815132157
4,7,18362.165511394312,0.01605907017309384,0.0032738125462728972
4,8,13139.99608614798,0.03745309467980127,0.008484626684907735
4,9,5344.188852835123,1.0348557477395397,0.2514160043154296
5,6,6878.552077236549,1.0073892132308602,0.24472614536382106
5,7,26264.34483345654,0.010703803982499597,0.0019694625034208492
5,8,21277.524442506598,0.020724338525232783,0.004410103957093225
5,9,9066.679513106288,0.5339638760947631,0.12941677757454378
6,7,28502.244933807655,0.014903179274852909,0.0029922791380361815
6,8,17728.080459353136,0.04289229421127056,0.009809419867814962
6,9,5963.402146964711,1.575624229182628,0.3831277375589008
7,8,21105.148669575476,0.0026177874902157745,0.0
7,9,23245.699506171102,0.0162302433531482,0.003315504170329077
8,9,12424.888557951384,0.058637375990307446,0.013644354932157092
