solution_id,R_struct,isolation_rate,R_combined,total_cost,n_reactivated,n_detour,n_branch_recovered,n_isolated_after,selected_edges
0,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"1-6,1-4,0-4,3-7,6-9"
1,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"8-9,1-5,1-4,3-7,6-9"
2,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"1-9,0-4,1-2,3-7,6-9"
3,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"8-9,1-9,1-5,1-4,4-9"
4,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"1-9,1-5,1-4,0-4,6-9"
5,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"8-9,1-9,1-5,1-4,6-9"
6,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"3-8,1-9,0-4,1-2,3-7"
7,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"3-8,1-9,1-6,0-4,3-7"
8,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"3-8,1-4,0-4,3-7,6-9"
9,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"3-8,8-9,1-9,1-2,3-7"
10,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"8-9,1-6,1-5,3-7,4-9"
11,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"8-9,1-9,1-5,1-4,1-2"
12,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"1-6,1-5,0-4,3-7,6-9"
13,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"3-8,8-9,1-2,3-7,6-9"
14,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"1-6,1-4,3-7,6-9,4-9"
15,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"8-9,0-4,1-2,3-7,6-9"
16,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"3-8,1-9,1-6,1-2,3-7"
17,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"8-9,1-4,0-4,6-9,4-9"
18,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"8-9,1-6,0-4,1-2,3-7"
19,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"3-8,1-5,0-4,3-7,6-9"
20,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"3-8,1-6,1-4,0-4,1-2"
21,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"8-9,1-5,1-4,0-4,6-9"
22,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"1-9,1-5,1-2,3-7,4-9"
23,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"3-8,1-9,1-6,1-4,1-2"
24,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"3-8,8-9,1-9,1-5,3-7"
25,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"3-8,1-5,0-4,1-2,3-7"
26,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"3-8,1-9,1-4,0-4,4-9"
27,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"1-6,0-4,1-2,3-7,6-9"
28,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"3-8,1-9,3-7,6-9,4-9"
29,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"3-8,1-9,1-4,0-4,3-7"
30,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"1-6,1-5,1-4,1-2,4-9"
31,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"1-5,1-4,0-4,1-2,6-9"
32,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"8-9,1-9,1-6,3-7,4-9"
33,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"8-9,1-6,1-4,3-7,6-9"
34,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"3-8,1-9,1-6,1-5,3-7"
35,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"3-8,1-4,1-2,3-7,6-9"
36,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"1-5,0-4,1-2,3-7,6-9"
37,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"3-8,1-4,0-4,1-2,3-7"
38,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"1-5,1-4,1-2,3-7,4-9"
39,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"3-8,1-5,1-4,0-4,4-9"
40,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"1-6,1-5,1-4,3-7,6-9"
41,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"1-9,1-6,1-4,0-4,3-7"
42,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"3-8,1-5,0-4,1-2,6-9"
43,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"1-9,1-6,1-5,0-4,3-7"
44,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"1-6,1-5,1-2,3-7,4-9"
45,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"1-9,1-6,1-4,3-7,4-9"
46,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"1-5,1-4,0-4,3-7,6-9"
47,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"8-9,1-9,1-4,0-4,6-9"
48,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"8-9,1-5,1-4,1-2,4-9"
49,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"8-9,1-6,1-4,1-2,6-9"
50,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"3-8,1-9,1-6,6-9,4-9"
51,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"1-6,1-5,1-4,0-4,4-9"
52,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"3-8,8-9,3-7,6-9,4-9"
53,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"1-5,1-4,0-4,6-9,4-9"
54,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"1-6,1-4,1-2,3-7,6-9"
55,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"3-8,1-6,1-5,1-2,3-7"
56,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"8-9,1-9,0-4,3-7,4-9"
57,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"8-9,1-4,0-4,3-7,6-9"
58,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"1-9,1-4,0-4,1-2,3-7"
59,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"1-6,1-4,0-4,1-2,4-9"
60,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"1-9,1-4,0-4,3-7,6-9"
61,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"3-8,1-5,1-4,0-4,3-7"
62,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"8-9,1-9,1-5,1-2,3-7"
63,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"3-8,1-9,1-4,3-7,6-9"
64,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"3-8,1-5,0-4,1-2,4-9"
65,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"3-8,8-9,1-5,1-4,3-7"
66,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"8-9,1-6,1-5,1-4,6-9"
67,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"8-9,1-9,1-5,1-2,4-9"
68,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"8-9,1-6,1-2,3-7,4-9"
69,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"1-9,1-5,1-2,6-9,4-9"
70,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"3-8,8-9,1-6,1-5,1-4"
71,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"8-9,1-9,1-6,1-4,4-9"
72,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"1-6,1-2,3-7,6-9,4-9"
73,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"3-8,1-9,1-5,0-4,3-7"
74,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"1-6,1-5,1-4,3-7,4-9"
75,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"3-8,1-2,3-7,6-9,4-9"
76,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"1-6,1-4,1-2,3-7,4-9"
77,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"3-8,1-5,1-4,1-2,6-9"
78,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"3-8,1-5,3-7,6-9,4-9"
79,0.45454545454545453,0.0,0.7272727272727273,1.5,5,0,0,0,"1-6,1-5,1-4,0-4,3-7"
